site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Kansas Wichita,CFX-1,1,,,,99.82,890.90,41,365.93,,,22,,33.1,,4.7,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,1,,,,99.35,886.70,34,303.45,,,16,,37.4,,5.4,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,2,,,,107.92,963.19,32,285.60,,,17,,26.4,,6.5,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,2,,,,87.26,778.80,19,169.58,,,10,,21.2,,6.8,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,3,,,,108.44,967.83,50,446.25,,,23,,32.3,,5.17,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,3,,,,95.87,855.64,65,580.13,,,15,,34.7,,6.3,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,4,,,,83.21,742.65,55,490.88,,,21,,27.3,,5.4,,,,,,,,,,,,,,,,,
Kansas Wichita,CFX-1,4,,,,62.8,560.49,15,133.88,,,22,,16.7,,4.7,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,1,,,,139.37,1243.88,79,705.08,,,22,,43.7,,6.3,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,1,,,,108.67,969.88,58,517.65,,,9,,50.1,,7.9,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,2,,,,142.81,1274.59,44,392.70,,,12,,28.8,,9.2,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,2,,,,139.43,1244.42,92,821.10,,,20,,46,,6.8,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,3,,,,176.11,1571.79,55,490.88,,,15,,28.9,,7.4,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,3,,,,151.47,1351.88,53,473.03,,,16,,32.1,,58.5,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,4,,,,129.38,1154.72,103,919.28,,,19,,46.2,,6.7,,,,,,,,,,,,,,,,,
Kansas Wichita,CRS-1,4,,,,99.74,890.18,72,642.60,,,13,,45.8,,8,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,1,,,,,,1015,9058.92,,,31,,183.1,,9.6,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,1,,,,,,1270,11334.80,,,50,,161.9,,8.5,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,2,,,,,,997,8898.27,,,29,,165.3,,9.2,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,2,,,,,,619,5524.60,,,21,,171.9,,9.1,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,3,,,,,,982,8764.39,,,84,,127.6,,6,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,3,,,,,,828,7389.93,,,47,,139.7,,7.8,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,4,,,,,,996,8889.34,,,48,,157.8,,7.9,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,4,,,,,,1288,11495.45,,,42,,171.1,,9.6,,,,,,,,,,,,,,,,,
Kansas Wichita,Eletta Campana,5,,,,,,1013,9041.07,,,44,,159.1,,8.7,,,,,,,,,,,,,,,,,
