site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Wisconsin Arlington,Anka,1,1,,,78.9,703.7,59,526.6,13.67,,11.67,,83.33,,5.07,,,,0.94,,,,,,,,,,,,,
Wisconsin Arlington,Anka,2,1,,,176.6,1576.1,264,2356.2,22,,19.33,,157,,6.92,,,,0.32,,,,,,,,,,,,,
Wisconsin Arlington,Anka,3,1,,,179.6,1603.2,374,3338,27.67,,17.67,,192.33,,6.8,,,,1.94,,,,,,,,,,,,,
Wisconsin Arlington,Anka,4,1,,,210.8,1881,297,2650.7,15.67,,15.67,,155.67,,6.02,,,,2.13,,,,,,,,,,,,,
Wisconsin Arlington,CFX-1,1,2,,,31.3,279.1,23,205.3,13.67,,12.33,,75.67,,5.23,,,,0.76,,,,,,,,,,,,,
Wisconsin Arlington,CFX-1,2,2,,,82.2,733.3,45,401.6,37.67,,15,,96.33,,4.87,,,,1.5,,,,,,,,,,,,,
Wisconsin Arlington,CFX-1,3,2,,,171.5,1530.2,140,1249.5,21.67,,17,,100.33,,6.25,,,,0.24,,,,,,,,,,,,,
Wisconsin Arlington,CFX-1,4,2,,,66.6,594.3,50,446.3,5.67,,12.67,,98,,5.43,,,,0.81,,,,,,,,,,,,,
Wisconsin Arlington,CFX-2,1,3,,,106.7,951.9,29,258.8,17.33,,6,,84.33,,4.7,,,,0.64,,,,,,,,,,,,,
Wisconsin Arlington,CFX-2,2,3,,,104.5,932.2,70,624.8,5.67,,14.67,,105,,5.57,,,,0.42,,,,,,,,,,,,,
Wisconsin Arlington,CFX-2,3,3,,,75.4,672.5,49,437.3,26.33,,12.33,,113.67,,5.27,,,,0.42,,,,,,,,,,,,,
Wisconsin Arlington,CFX-2,4,3,,,27.1,242.1,16,142.8,18,,19.33,,69,,3.73,,,,0.29,,,,,,,,,,,,,
