site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Vermont,Altair,1,,,101,,,2221,19822.5,180,,,,107,,,,,,,,,,,,,,,,,,,
Vermont,Altair,2,,,209,,,1544,13780.3,336,,,,104,,,,,,,,,,,,,,,,,,,
Vermont,Altair,3,,,307,,,958,8550.2,52,,,,120,,,,,,,,,,,,,,,,,,,
Vermont,Altair,4,,,401,,,1514,13512.5,136,,,,102,,,,,,,,,,,,,,,,,,,
Vermont,Anka,1,,,108,,,1792,15993.7,312,,,,111,,,,,,,,,,,,,,,,,,,
Vermont,Anka,2,,,206,,,2139,19090.7,376,,,,101,,,,,,,,,,,,,,,,,,,
Vermont,Anka,3,,,309,,,972,8675.1,92,,,,129,,,,,,,,,,,,,,,,,,,
Vermont,Anka,4,,,408,,,246,2195.6,36,,,,96,,,,,,,,,,,,,,,,,,,
Vermont,Bialobrzeskie,1,,,107,,,1399,12486.1,132,,,,74,,,,,,,,,,,,,,,,,,,
Vermont,Bialobrzeskie,2,,,205,,,780,6961.5,36,,,,135,,,,,,,,,,,,,,,,,,,
Vermont,Bialobrzeskie,3,,,308,,,623,5560.3,72,,,,107,,,,,,,,,,,,,,,,,,,
Vermont,Bialobrzeskie,4,,,403,,,314,2802.5,88,,,,101,,,,,,,,,,,,,,,,,,,
Vermont,Ferimon,1,,,103,,,2526,22544.7,232,,,,126,,,,,,,,,,,,,,,,,,,
Vermont,Ferimon,2,,,201,,,1458,13012.7,124,,,,135,,,,,,,,,,,,,,,,,,,
Vermont,Ferimon,3,,,301,,,1560,13923.1,132,,,,103,,,,,,,,,,,,,,,,,,,
Vermont,Ferimon,4,,,404,,,1539,13735.6,128,,,,105,,,,,,,,,,,,,,,,,,,
Vermont,Futura 75,1,,,109,,,1723,15377.8,168,,,,150,,,,,,,,,,,,,,,,,,,
Vermont,Futura 75,2,,,202,,,1286,11477.6,128,,,,108,,,,,,,,,,,,,,,,,,,
Vermont,Futura 75,3,,,306,,,800,7140,96,,,,101,,,,,,,,,,,,,,,,,,,
Vermont,Futura 75,4,,,407,,,1328,11852.5,112,,,,138,,,,,,,,,,,,,,,,,,,
Vermont,Henola,1,,,106,,,745,6649.2,140,,,,96,,,,,,,,,,,,,,,,,,,
Vermont,Henola,2,,,204,,,1366,12191.6,148,,,,98,,,,,,,,,,,,,,,,,,,
Vermont,Henola,3,,,304,,,868,7746.9,144,,,,94,,,,,,,,,,,,,,,,,,,
Vermont,Henola,4,,,409,,,637,5685.3,120,,,,55,,,,,,,,,,,,,,,,,,,
Vermont,Hlesia,1,,,102,,,1240,11067.1,160,,,,101,,,,,,,,,,,,,,,,,,,
Vermont,Hlesia,2,,,207,,,1785,15931.2,324,,,,111,,,,,,,,,,,,,,,,,,,
Vermont,Hlesia,3,,,305,,,1663,14842.3,84,,,,98,,,,,,,,,,,,,,,,,,,
Vermont,Hlesia,4,,,405,,,863,7702.3,88,,,,99,,,,,,,,,,,,,,,,,,,
Vermont,Hliana,1,,,104,,,1238,11049.2,76,,,,120,,,,,,,,,,,,,,,,,,,
Vermont,Hliana,2,,,208,,,484,4319.7,112,,,,108,,,,,,,,,,,,,,,,,,,
Vermont,Hliana,3,,,303,,,523,4667.8,68,,,,104,,,,,,,,,,,,,,,,,,,
Vermont,Hliana,4,,,406,,,840,7497,100,,,,97,,,,,,,,,,,,,,,,,,,
Vermont,Hlukauskii51,1,,,105,,,1060,9460.5,184,,,,84,,,,,,,,,,,,,,,,,,,
Vermont,Hlukauskii51,2,,,203,,,499,4453.6,112,,,,147,,,,,,,,,,,,,,,,,,,
Vermont,Hlukauskii51,3,,,302,,,1236,11031.4,164,,,,109,,,,,,,,,,,,,,,,,,,
Vermont,Hlukauskii51,4,,,402,,,331,2954.2,88,,,,105,,,,,,,,,,,,,,,,,,,
