site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Vermont,Altair,1,1,,,,1105.3,,3537,,348480,,388639,102.6,,4.74,,46,46,,16,,,18.8,0,,,,,,,,
Vermont,Altair,2,1,,,,1367.2,,3190,,487872,,404833,110.2,,5.08,,39,39,,15.5,,,18.5,0,,,,,,,,
Vermont,Altair,3,1,,,,1176.1,,3401,,627264,,437219,111,,4.42,,49,56,,15.6,,,15.9,0,,,,,,,,
Vermont,Altair,4,1,,,,1167.4,,3590,,766656,,582959,112.8,,4.6,,38,38,,16,,,15.7,0,,,,,,,,
Vermont,Anka,1,2,,,,1105.3,,4532,,209088,,485799,119.6,,5.4,,49,56,,15.1,,,13.7,0,,,,,,,,
Vermont,Anka,2,2,,,,829.1,,4036,,487872,,275286,140.4,,6.12,,32,42,,14.2,,,11.6,0,,,,,,,,
Vermont,Anka,3,2,,,,1402.6,,4286,,348480,,323866,113.2,,5.42,,38,46,,15,,,12.7,0,,,,,,,,
Vermont,Anka,4,2,,,,1328.6,,6013,,418176,,388639,160.8,,6.56,,29,46,,12.5,,,14.5,0,,,,,,,,
Vermont,Bialobrzeskie ,1,3,,,,1057.3,,2837,,348480,,178126,121,,5.2,,42,42,,12,,,14.3,0,,,,,,,,
Vermont,Bialobrzeskie ,2,3,,,,1237.1,,4525,,487872,,437219,127.4,,4.92,,38,42,,10,,,14.8,0,,,,,,,,
Vermont,Bialobrzeskie ,3,3,,,,1446.2,,4729,,418176,,437219,127,,5.1,,38,44,,12,,,15.2,0,,,,,,,,
Vermont,Bialobrzeskie ,4,3,,,,962,,3658,,696960,,437219,122.2,,5.6,,46,46,,11.7,,,14,0,,,,,,,,
Vermont,CFX-1,1,4,,,,786.5,,785,,766656,,113353,77.2,,5.06,,38,46,,12.5,,,15,0,,,,,,,,
Vermont,CFX-1,2,4,,,,996.4,,1020,,487872,,210513,82.2,,5.59,,25,34,,13,,,16.6,0,,,,,,,,
Vermont,CFX-1,3,4,,,,1720.6,,1185,,278784,,161933,84.4,,5.66,,38,48,,11.5,,,15.8,0,,,,,,,,
Vermont,CFX-1,4,4,,,,1184.8,,1003,,487872,,210513,79,,4.54,,29,35,,13.2,,,15.5,0,,,,,,,,
Vermont,CFX-2,1,5,,,,759.9,,1267,,348480,,259093,71.4,,4.52,,38,45,,13,,,16.4,0,,,,,,,,
Vermont,CFX-2,2,5,,,,906.7,,1006,,487872,,437219,81.4,,4.6,,29,48,,15,,,15.4,0,,,,,,,,
Vermont,CFX-2,3,5,,,,1055.4,,757,,418176,,275286,76.4,,4.88,,48,45,,12.3,,,15.7,0,,,,,,,,
Vermont,CFX-2,4,5,,,,932.2,,1100,,348480,,388639,76,,4.84,,25,32,,13.5,,,15.8,0,,,,,,,,
Vermont,Grandi,1,6,,,,1128.2,,974,,348480,,194320,67,,4.54,,26,31,,16.4,,,15,0,,,,,,,,
Vermont,Grandi,2,6,,,,981.5,,128,,418176,,16193,15,,0.9,,25,34,,15.3,,,13.9,0,,,,,,,,
Vermont,Grandi,3,6,,,,1128.2,,228,,487872,,161933,38.2,,2.84,,38,42,,16.5,,,15.4,0,,,,,,,,
Vermont,Grandi,4,6,,,,1021.8,,1278,,69696,,178126,82.8,,5.58,,30,42,,15,,,16.4,0,,,,,,,,
Vermont,H-51 ,1,7,,,,1567.8,,4564,,278784,,356253,103.4,,4.72,,38,44,,10.6,,,15.7,0,,,,,,,,
Vermont,H-51 ,2,7,,,,1110.8,,5474,,278784,,388639,149,,6.18,,42,42,,12.8,,,15.7,0,,,,,,,,
Vermont,H-51 ,3,7,,,,1451.7,,4318,,348480,,453413,116.6,,5.48,,45,45,,12.4,,,15.5,0,,,,,,,,
Vermont,H-51 ,4,7,,,,788.4,,5000,,418176,,421026,112.2,,5.8,,32,42,,10.2,,,16,0,,,,,,,,
Vermont,Henola ,1,8,,,,798,,1192,,348480,,340059,76,,3.06,,56,56,,16.8,,,13.6,0,,,,,,,,
Vermont,Henola ,2,8,,,,1523.8,,2495,,348480,,356253,75.6,,6.4,,42,42,,15,,,11.5,0,,,,,,,,
Vermont,Henola ,3,8,,,,1284.5,,1634,,348480,,242900,87.4,,4.84,,45,45,,16,,,12.5,0,,,,,,,,
Vermont,Henola ,4,8,,,,1576.9,,3583,,418176,,647732,91.8,,4.2,,38,46,,20.4,,,13.5,0,,,,,,,,
Vermont,Hlesia ,1,9,,,,914.8,,2869,,418176,,210513,100.8,,6.2,,46,46,,10.3,,,13.9,0,,,,,,,,
Vermont,Hlesia ,2,9,,,,1177.3,,3094,,557568,,242900,117.2,,5.7,,42,42,,12.3,,,16.6,0,,,,,,,,
Vermont,Hlesia ,3,9,,,,1123.8,,2812,,418176,,421026,97.4,,3.66,,42,42,,13.8,,,14.7,0,,,,,,,,
Vermont,Hlesia ,4,9,,,,1089,,4714,,278784,,356253,132,,6.14,,42,42,,16.6,,,14.5,0,,,,,,,,
Vermont,Hliana,1,10,,,,1062.9,,4104,,209088,,226706,138.8,,5.6,,52,52,,12.7,,,16.5,0,,,,,,,,
Vermont,Hliana,2,10,,,,1520.2,,2800,,139392,,388639,128.2,,5.7,,42,42,,12.8,,,16.5,0,,,,,,,,
Vermont,Hliana,3,10,,,,757.9,,1977,,418176,,129546,118.2,,6.28,,45,45,,13.9,,,16.2,0,,,,,,,,
Vermont,Hliana,4,10,,,,1237.1,,2066,,557568,,161933,120.6,,5.74,,38,38,,14,,,14.3,0,,,,,,,,
Vermont,Lara,1,11,,,,1151.4,,5800,,348480,,356253,128.1,,5.2,,42,42,,12.9,,,11.9,0,,,,,,,,
Vermont,Lara,2,11,,,,961.4,,5400,,209088,,421026,121.5,,5.5,,36,42,,13.8,,,13.9,0,,,,,,,,
Vermont,Lara,3,11,,,,1206.6,,5578,,348480,,307673,137,,6.28,,42,46,,13.3,,,15.8,0,,,,,,,,
Vermont,Lara,4,11,,,,915,,6106,,418176,,404833,120.2,,5.08,,29,42,,11.6,,,14.1,0,,,,,,,,
Vermont,NWG 2730,1,12,,,,1141.3,,4439,,418176,,275286,145.6,,8.28,,40,46,,12.4,,,15.1,0,,,,,,,,
Vermont,NWG 2730,2,12,,,,1163.1,,3951,,418176,,323866,127.2,,6.92,,46,42,,13.1,,,13.4,0,,,,,,,,
Vermont,NWG 2730,3,12,,,,1254.5,,2823,,766656,,210513,124.6,,6.28,,46,56,,12.4,,,14,0,,,,,,,,
Vermont,NWG 2730,4,12,,,,1249.2,,3200,,209088,,421026,132.2,,6.58,,34,46,,12.5,,,15.1,0,,,,,,,,
Vermont,NWG 2463,1,13,,,,988.8,,4482,,209088,,210513,137.4,,6.82,,42,56,,11.4,,,14.8,0,,,,,,,,
Vermont,NWG 2463,2,13,,,,1080.3,,4200,,139392,,356253,138.4,,6.56,,29,56,,12.3,,,15.9,0,,,,,,,,
Vermont,NWG 2463,3,13,,,,1180.5,,3340,,557568,,210513,109.6,,7.22,,42,52,,11.9,,,17.2,0,,,,,,,,
Vermont,NWG 2463,4,13,,,,1407,,4975,,313632,,356253,140.4,,6.6,,32,42,,15.5,,,15.5,0,,,,,,,,
Vermont,NWG 4000,1,14,,,,1367.8,,3300,,627264,,388639,126,,7.25,,42,56,,11.8,,,14.7,0,,,,,,,,
Vermont,NWG 4000,2,14,,,,1367.8,,3512,,557568,,323866,123,,6.9,,36,42,,10.6,,,15.2,0,,,,,,,,
Vermont,NWG 4000,3,14,,,,1463.6,,3251,,487872,,242900,121.8,,7.5,,52,59,,11.5,,,13.6,0,,,,,,,,
Vermont,NWG 4000,4,14,,,,1459.3,,4914,,418176,,291480,122.8,,7,,36,42,,12.1,,,13.6,0,,,,,,,,
Vermont,NWG 4113,1,15,,,,940.9,,4900,,418176,,226706,136.4,,7.16,,49,56,,12.1,,,14.9,0,,,,,,,,
Vermont,NWG 4113,2,15,,,,1613.6,,5000,,348480,,275286,135.6,,7.25,,32,56,,11.8,,,14.4,0,,,,,,,,
Vermont,NWG 4113,3,15,,,,1298.1,,5100,,348480,,291480,141.1,,7.48,,36,46,,12.1,,,14.1,0,,,,,,,,
Vermont,NWG 4113,4,15,,,,1289.4,,5039,,557568,,242900,144.2,,7.54,,42,48,,13.1,,,15.9,0,,,,,,,,
Vermont,Vega,1,16,,,,800.1,,1977,,557568,,226706,109.8,,4.96,,45,45,,10.3,,,16.4,0,,,,,,,,
Vermont,Vega,2,16,,,,1201.5,,1825,,348480,,291480,106,,4.72,,40,44,,10.8,,,16.2,0,,,,,,,,
Vermont,Vega,3,16,,,,1611.7,,1113,,627264,,242900,72.8,,4.44,,59,59,,11.2,,,16.5,0,,,,,,,,
Vermont,Vega,4,16,,,,914.8,,2637,,906048,,437219,106.4,,4.82,,42,42,,10.9,,,16.5,0,,,,,,,,
Vermont,X-59,1,17,,,,1717.7,,253,,557568,,113353,42.6,,3.24,,38,45,,12.8,,,18.3,0,,,,,,,,
Vermont,X-59,2,17,,,,1934.1,,515,,209088,,161933,43.1,,3.44,,26,34,,11.2,,,17.5,0,,,,,,,,
Vermont,X-59,3,17,,,,1607.4,,753,,348480,,388639,42.3,,4.12,,28,45,,10.3,,,17.8,0,,,,,,,,
Vermont,X-59,4,17,,,,1799,,665,,348480,,178126,41.5,,4,,29,34,,13.4,,,16.3,0,,,,,,,,
