site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Wisconsin ChippewaFalls,Altair,1,1,,,53,473.027166,190,1695.757765,55,222657.9926,42,170029.7398,106,11,5,0.5,,,25:0:75,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Altair,2,1,,,82,731.8533512,248,2213.410135,53,214561.3383,33,133594.7955,107,8,5.6,1,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Altair,3,1,,,168,1499.406866,448,3998.418309,84,340059.4796,56,226706.3197,108,11,5.9,1.5,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Altair,4,1,,,,,,,70,283382.8996,33,133594.7955,,,,,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,1,2,,,40,357.0016347,261,2329.435667,73,295527.881,43,174078.0669,138,10,6.3,1.2,,,50:00:50,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,2,2,,,126,1124.555149,288,2570.41177,45,182174.7212,36,145739.777,126,18,6.9,1,,,40:0:60,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,3,2,,,103,919.2792094,458,4087.668718,82,331962.8253,61,246947.9554,117,23,6.3,1.4,,,50:00:50,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,4,2,,,,,,,64,259092.9368,51,206464.684,,,,,,,30:0:70,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Bialobrzeskie,1,3,,,45,401.6268391,163,1454.781662,72,291479.5539,32,129546.4684,142,14,6.6,0.5,,,0.834259259,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Bialobrzeskie,2,3,,,64,571.2026156,459,4096.593759,66,267189.5911,51,206464.684,135,19,6.6,0.8,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Bialobrzeskie,3,3,,,125,1115.630109,450,4016.268391,60,242899.6283,60,242899.6283,131,20,4.9,0.6,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Bialobrzeskie,4,3,,,,,,,57,230754.6468,42,170029.7398,,,,,,,0.001157407,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-1,1,4,,,155,1383.381335,152,1356.606212,75,303624.5353,51,206464.684,83,9,5.1,0.6,,,40:60:0,,,,,,,,,,,,,
