site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Maryland,Altair,1,,,,,,,,54.13,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Altair,2,,,,,,198.79,1774.25,49.21,,,,111.76,,5.725,,,,,,,,,,,,,,,,,
Maryland,Altair,4,,,,,,162.38,1449.26,41.83,,,,96.52,,5.85,,,,,,,,,,,,,,,,,
Maryland,Anka,2,,,,,,197.56,1763.27,41.83,,,,119.38,,5.475,,,,,,,,,,,,,,,,,
Maryland,Anka,3,,,,,,,,61.51,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Anka,4,,,,,,234.47,2092.65,44.29,,,,116.84,,5.35,,,,,,,,,,,,,,,,,
Maryland,Henola,1,,,,,,,,51.67,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Henola,2,,,,,,,,93.49,,,,101.6,,,,,,,,,,,,,,,,,,,
Maryland,Henola,3,,,,,,,,71.35,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Hlesia,1,,,,,,190.43,1699.59,44.29,,,,101.6,,5.075,,,,,,,,,,,,,,,,,
Maryland,Hlesia,2,,,,,,169.52,1512.94,63.97,,,,114.3,,5.075,,,,,,,,,,,,,,,,,
Maryland,Hlesia,3,,,,,,,,76.27,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Hlukauskii51,1,,,,,,242.10,2160.72,46.75,,,,119.38,,6.325,,,,,,,,,,,,,,,,,
Maryland,Hlukauskii52,2,,,,,,454.18,4053.54,51.67,,,,127,,8.175,,,,,,,,,,,,,,,,,
Maryland,Hlukauskii53,3,,,,,,199.78,1783.03,51.67,,,,111.76,,4.55,,,,,,,,,,,,,,,,,
Maryland,NWG 2730,2,,,,,,437.94,3908.62,34.44,,,,144.78,,6.425,,,,,,,,,,,,,,,,,
Maryland,NWG 2730,3,,,,,,529.95,4729.87,86.11,,,,134.62,,7.925,,,,,,,,,,,,,,,,,
Maryland,NWG 2730,4,,,,,,702.42,6269.16,24.60,,,,139.7,,8.775,,,,,,,,,,,,,,,,,
Maryland,NWG 452,2,,,,,,525.77,4692.54,39.37,,,,137.16,,9.125,,,,,,,,,,,,,,,,,
Maryland,NWG 452,3,,,,,,374.22,3339.89,56.59,,,,129.54,,7.725,,,,,,,,,,,,,,,,,
Maryland,NWG 452,4,,,,,,472.63,4218.23,46.75,,,,137.16,,6.25,,,,,,,,,,,,,,,,,
