site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
North Dakota,Anka,2,,,207,,1024,,,,,3.5,,57,,,,,,,,,,,,,,,,,,,
North Dakota,Anka,3,,,305,,1370.5,,,,,6.5,,68,,,,,,,,,,,,,,,,,,,
North Dakota,Anka,4,,,406,,1600.1,,,,,7,,59,,,,,,,,,,,,,,,,,,,
North Dakota,Bialobrzeskie,2,,,202,,993.5,,,,,2.5,,66,,,,,,,,,,,,,,,,,,,
North Dakota,Bialobrzeskie,3,,,308,,1026.4,,,,,5,,60,,,,,,,,,,,,,,,,,,,
North Dakota,Bialobrzeskie,4,,,412,,892,,,,,3.5,,54,,,,,,,,,,,,,,,,,,,
North Dakota,CFX-1,2,,,201,,1869,,,,,4,,40,,,,,,,,,,,,,,,,,,,
North Dakota,CFX-1,3,,,303,,1802.4,,,,,5,,37,,,,,,,,,,,,,,,,,,,
North Dakota,CFX-1,4,,,410,,892.9,,,,,7,,38,,,,,,,,,,,,,,,,,,,
North Dakota,CRS-1,2,,,203,,1589,,,,,4.5,,52,,,,,,,,,,,,,,,,,,,
North Dakota,CRS-1,3,,,312,,1445,,,,,6,,42,,,,,,,,,,,,,,,,,,,
North Dakota,CRS-1,4,,,403,,2335.7,,,,,5.5,,49,,,,,,,,,,,,,,,,,,,
North Dakota,Henola,2,,,211,,1197.5,,,,,2.5,,30,,,,,,,,,,,,,,,,,,,
North Dakota,Henola,3,,,306,,1772.3,,,,,7,,47,,,,,,,,,,,,,,,,,,,
North Dakota,Henola,4,,,408,,1862.9,,,,,5,,46,,,,,,,,,,,,,,,,,,,
North Dakota,Hlesia,2,,,205,,1218.7,,,,,4,,52,,,,,,,,,,,,,,,,,,,
North Dakota,Hlesia,3,,,309,,1472.3,,,,,7,,52,,,,,,,,,,,,,,,,,,,
North Dakota,Hlesia,4,,,405,,994.4,,,,,5,,47,,,,,,,,,,,,,,,,,,,
North Dakota,Hliana,2,,,204,,991.5,,,,,4,,56,,,,,,,,,,,,,,,,,,,
North Dakota,Hliana,3,,,302,,940.5,,,,,3,,60,,,,,,,,,,,,,,,,,,,
North Dakota,Hliana,4,,,401,,1023.1,,,,,3,,48,,,,,,,,,,,,,,,,,,,
North Dakota,Hlukauskii51,2,,,212,,751.3,,,,,1,,52,,,,,,,,,,,,,,,,,,,
North Dakota,Hlukauskii51,3,,,313,,935.4,,,,,6,,48,,,,,,,,,,,,,,,,,,,
North Dakota,Hlukauskii51,4,,,413,,890,,,,,7,,44,,,,,,,,,,,,,,,,,,,
North Dakota,Katani,2,,,208,,798.7,,,,,2.5,,25,,,,,,,,,,,,,,,,,,,
North Dakota,Katani,3,,,304,,970.5,,,,,3,,28,,,,,,,,,,,,,,,,,,,
North Dakota,Katani,4,,,402,,1625.8,,,,,5,,37,,,,,,,,,,,,,,,,,,,
North Dakota,NWG 2730,2,,,213,,1049.3,,,,,2.5,,52,,,,,,,,,,,,,,,,,,,
North Dakota,NWG 2730,3,,,307,,1810.4,,,,,7,,48,,,,,,,,,,,,,,,,,,,
North Dakota,NWG 2730,4,,,409,,1809.2,,,,,6.6,,52,,,,,,,,,,,,,,,,,,,
North Dakota,X-59,2,,,206,,1477.2,,,,,4,,50,,,,,,,,,,,,,,,,,,,
North Dakota,X-59,3,,,311,,1513.9,,,,,7,,36,,,,,,,,,,,,,,,,,,,
North Dakota,X-59,4,,,411,,893.4,,,,,5.5,,34,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
North Dakota,Altair,2,,,209,,1164.2,,,,,3.5,,52,,,,,,,,,,,,,,,,,,,
North Dakota,Altair,3,,,301,,1741,,,,,6.5,,49,,,,,,,,,,,,,,,,,,,
North Dakota,Altair,4,,,407,,1380.7,,,,,5,,50,,,,,,,,,,,,,,,,,,,
=======
>>>>>>> f36e746aa6404bf345bdf3645fda5a03ffeccf44
