site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Virginia,Altair,1,1,,,108,963,470,4191,87,352089,66.7,269800,145,12.9,6.5,2.1,39,42,3:47,6,57.1,,,,0,,,,,,,
Virginia,Altair,2,1,,,153,1367,449,3999,66,267102,65.3,264404,140,16.3,7.1,0.9,37,41,6:43,12,59.2,,,,0,,,,,,,
Virginia,Altair,3,1,,,195,1735,586,5227,82,331854,66.7,269800,162.5,12.6,8.3,1.5,39,42,3:47,6,63,,,,0,,,,,,,
Virginia,Altair,4,1,,,251,2234,859,7657,74,299478,73.3,296780,180,21.6,10.5,2.4,38,41,3:52,5,63.1,,,,0,,,,,,,
Virginia,Anka,1,2,,,153,1367,413,3684,89,360183,81.3,329156,142.5,22.2,5.8,2,48,54,13:48,21,48,,,,0,,,,,,,
Virginia,Anka,2,2,,,115,1022,405,3613,68,275196,64,259008,152.5,9.6,6.4,1.9,49,56,13:35,27,47.8,,,,0,,,,,,,
Virginia,Anka,3,2,,,143,1272,723,6442,136,550392,62.7,253612,200,21.6,9.4,2.3,50,56,16:31,34,49.3,,,,0,,,,,,,
Virginia,Anka,4,2,,,241,2151,921,8213,94,380418,44,178068,207.5,22.2,10.3,2.7,50,55,7:26,21,55.1,,,,0,,,,,,,
Virginia,Bialobrzeskie ,1,3,,,121,1082,420,3744,80,323760,58.7,237424,157.5,15,6.1,0.9,49,54,1:21,5,41,,,,0,,,,,,,
Virginia,Bialobrzeskie ,2,3,,,117,1046,387,3447,129,522063,77.3,312968,135,12.9,5.7,1,50,55,2:27,7,46.2,,,,0,,,,,,,
Virginia,Bialobrzeskie ,3,3,,,148,1319,655,5836,89,360183,40,161880,180,18.3,9.7,2.3,50,54,0:01,0,54,,,,0,,,,,,,
Virginia,Bialobrzeskie ,4,3,,,123,1093,809,7214,78,315666,76,307572,202.5,17.1,8.6,2.4,51,56,1:18,5,55.8,,,,0,,,,,,,
Virginia,CFX-1,1,4,,,85,761,196,1747,103,416841,98.7,399304,90,14.1,5,1.1,30,38,15:22,41,55.5,,,,0,,,,,,,
Virginia,CFX-1,2,4,,,61,547,167,1486,92,372324,64,259008,95,5.8,6.3,1.5,30,36,5:07,42,56.7,,,,0,,,,,,,
Virginia,CFX-1,3,4,,,203,1807,436,3887,84,339948,78.7,318364,127.5,17.1,9.4,2.8,30,35,25:34:00,42,59.4,,,,0,,,,,,,
Virginia,CFX-1,4,4,,,160,1426,427,3803,122,493734,82.7,334552,122.5,9.6,8.1,2.5,31,35,25:37:00,40,56.8,,,,0,,,,,,,
Virginia,CFX-2,1,5,,,87,773,129,1153,81,327807,52,210444,85,12.9,5.3,1.9,32,38,7:32,18,56.9,,,,0,,,,,,,
Virginia,CFX-2,2,5,,,91,808,104,927,59,238773,34.7,140296,90,11.5,5.6,2.8,32,38,3:10,23,55.8,,,,0,,,,,,,
Virginia,CFX-2,3,5,,,153,1367,397,3542,73,295431,70.7,285988,112.5,18.9,5.8,2.7,31,35,18:35,34,53.7,,,,0,,,,,,,
Virginia,CFX-2,4,5,,,203,1807,341,3043,77,311619,69.3,280592,112.5,9.6,6.9,1.7,32,37,5:08,38,54.7,,,,0,,,,,,,
Virginia,Grandi,1,6,,,124,1105,155,1379,50,202350,44,178068,90,11.5,6.2,0.5,33,39,1:02,33,54.4,,,,0,,,,,,,
Virginia,Grandi,2,6,,,83,737,91,808,51,206397,37.3,151088,80,8.2,3.5,2.2,33,39,3:11,21,58.1,,,,0,,,,,,,
Virginia,Grandi,3,6,,,125,1117,329,2936,104,420888,66.7,269800,115,12.9,6.5,1.6,30,37,9:16,36,57.4,,,,0,,,,,,,
Virginia,Grandi,4,6,,,123,1093,273,2437,82,331854,68,275196,100,21.6,7.4,2.2,32,38,6:11,35,54.4,,,,0,,,,,,,
Virginia,H-51 ,1,7,,,68,606,344,3066,112,453264,84,339948,135,12.9,6.3,0.3,44,48,8:55,13,50.3,,,,0,,,,,,,
Virginia,H-51 ,2,7,,,57,511,347,3090,87,352089,86.7,350740,140,18.3,5,1,45,50,8:57,12,52.7,,,,0,,,,,,,
Virginia,H-51 ,3,7,,,85,761,729,6501,108,437076,45.3,183464,157.5,17.1,9.8,2.4,44,50,3:31,9,56.5,,,,0,,,,,,,
Virginia,H-51 ,4,7,,,100,891,585,5218,86,348042,60,242820,172.5,15,7.3,2.4,44,50,1:14,7,59.1,,,,0,,,,,,,
Virginia,Henola ,1,8,,,168,1498,224,1997,62,250914,54.7,221236,115,12.9,5.5,1.4,45,50,3:38,7,48.6,,,,0,,,,,,,
Virginia,Henola ,2,8,,,111,986,272,2425,90,364230,80,323760,115,20.8,5.5,2,44,50,1:14,7,45.8,,,,0,,,,,,,
Virginia,Henola ,3,8,,,149,1331,627,5586,74,299478,61.3,248216,207.5,26.3,8.4,0.9,43,50,3:20,13,58.3,,,,0,,,,,,,
Virginia,Henola ,4,8,,,161,1438,665,5931,100,404700,81.3,329156,162.5,9.6,7.7,1,45,50,3:58,5,59.1,,,,0,,,,,,,
Virginia,Hlesia ,1,9,,,48,428,338,3014,72,291384,60,242820,135,12.9,6,1.6,38,42,1:44,2,61.1,,,,0,,,,,,,
