site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Michigan,Anka,1,,,,25.68,229.20,31.83,284.08,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,2,,,,28.71,256.24,20.15,179.84,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,3,,,,1.87,16.69,32.93,293.90,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,4,,,,2.57,22.94,43.56,388.77,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,1,,,,5.91,52.75,33.58,299.70,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,2,,,,10.59,94.52,16.30,145.48,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,3,,,,33.77,301.40,35.43,316.21,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,4,,,,6.06,54.09,63.18,563.88,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,5,,,,72.56,647.60,196.40,1752.88,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,5,,,,97.28,868.23,123.60,1103.14,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,6,,,,165.68,1478.70,119.60,1067.43,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,6,,,,189.48,1691.12,111.20,992.46,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,1,,,,7.18,64.08,5.50,49.09,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,2,,,,80.87,721.77,21.92,195.64,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,3,,,,30.87,275.52,21.07,188.05,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,4,,,,36.29,323.89,13.32,118.88,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,1,,,,18.09,161.45,8.62,76.93,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,2,,,,20.86,186.18,13.59,121.29,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,3,,,,20.09,179.30,11.86,105.85,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,4,,,,172.2,1536.89,6.91,61.68,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,5,,,,172.49,1539.48,40.40,360.57,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,5,,,,109.3,975.51,27.60,246.33,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,5,,,,91.15,813.52,28.90,257.93,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,5,,,,3.6,32.13,20.60,183.86,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,1,,,,8.02,71.58,17.66,157.62,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,1,,,,50.67,452.23,9.34,83.36,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,5,,,,39.37,351.38,4.10,36.59,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,5,,,,14.72,131.38,12.00,107.10,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,6,,,,7.88,70.33,21.00,187.43,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,6,,,,46.94,418.94,24.70,220.45,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,2,,,,69.82,623.15,26.68,238.12,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,2,,,,46.02,410.73,17.84,159.22,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,3,,,,7.25,64.71,9.06,80.86,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,3,,,,151.58,1352.86,14.40,128.52,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,4,,,,96.97,865.46,22.19,198.05,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-2,4,,,,9.66,86.22,17.87,159.49,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,1,,,,7.14,63.72,15.90,141.91,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,2,,,,16.18,144.41,40.54,361.82,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,3,,,,7.34,65.51,19.41,173.24,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,4,,,,25.33,226.07,95.35,851.00,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,1,,,,18.2,162.44,11.21,100.05,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,2,,,,54.23,484.00,12.63,112.72,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,3,,,,24.76,220.98,32.94,293.99,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,4,,,,130.09,1161.06,140.32,1252.36,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,5,,,,166.05,1482.00,45.90,409.66,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,5,,,,71.61,639.12,33.30,297.20,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,1,,,,87.25,778.71,88.52,790.04,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,2,,,,4.21,37.57,22.99,205.19,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,3,,,,5.12,45.70,30.63,273.37,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,4,,,,6.96,62.12,26.36,235.26,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,1,,,,9.52,84.97,52.65,469.90,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,2,,,,11.85,105.76,29.50,263.29,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,3,,,,15.44,137.80,33.46,298.63,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,4,,,,134.66,1201.85,20.03,178.77,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,5,,,,206.46,1842.66,217.90,1944.77,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,5,,,,280.75,2505.71,252.30,2251.79,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,6,,,,158.02,1410.33,184.20,1643.99,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fedora 17,6,,,,36.83,328.71,114.50,1021.92,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,1,,,,68.13,608.06,87.59,781.74,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,2,,,,44.69,398.86,50.11,447.23,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,3,,,,35.04,312.73,129.43,1155.17,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,4,,,,52.12,465.17,59.23,528.63,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,1,,,,35.77,319.25,107.23,957.03,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,2,,,,17.38,155.12,44.23,394.75,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,3,,,,179.54,1602.40,49.92,445.54,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,4,,,,219.19,1956.28,36.61,326.75,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,5,,,,124.8,1113.85,290.60,2593.62,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,5,,,,139.29,1243.17,237.10,2116.13,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,6,,,,22.8,203.49,115.90,1034.41,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Felina 32,6,,,,14.5,129.41,149.90,1337.86,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,1,,,,32.4,289.17,42.42,378.60,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,2,,,,29.88,266.68,39.58,353.25,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,3,,,,21.95,195.90,68.73,613.42,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,4,,,,8.02,71.58,26.21,233.93,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,1,,,,16.75,149.49,27.93,249.28,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,2,,,,33.36,297.74,43.37,387.08,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,3,,,,208.94,1864.80,40.38,360.39,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,4,,,,200.11,1785.99,21.14,188.68,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,5,,,,168.89,1507.35,125.00,1115.63,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,5,,,,200.99,1793.84,105.20,938.91,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,6,,,,20.8,185.64,116.70,1041.55,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Fermion,6,,,,31.31,279.44,112.20,1001.39,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,1,,,,4.76,42.48,30.99,276.59,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,2,,,,6.09,54.35,17.95,160.20,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,3,,,,15.67,139.86,63.76,569.06,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,4,,,,13.86,123.70,55.49,495.25,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,1,,,,21.3,190.10,17.90,159.76,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,2,,,,8.55,76.31,14.07,125.58,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,3,,,,223.08,1991.00,45.16,403.05,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,5,,,,67.77,604.85,185.00,1651.13,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,5,,,,264.17,2357.73,61.00,544.43,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,6,,,,218.63,1951.28,264.50,2360.67,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Futura 75,6,,,,90.92,811.46,264.80,2363.35,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi ,1,,,,118.47,1057.35,12.11,108.08,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi ,2,,,,116.05,1035.75,16.21,144.67,,,,,,,,,,,,,,,,,,,,,,,,
