site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Kentucky Lexington,CFX-2,1,,,105-1,109.5,976.4,26.9,240.1,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,1,,,105-2,123.4,1100.4,26.8,239.2,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,2,,,202-1,155.4,1385.7,27.3,243.7,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,2,,,202-2,192.8,1719.2,30.6,273.1,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,3,,,312-1,141.1,1258.2,25.9,231.2,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,3,,,312-2,140.4,1251.9,24.6,219.6,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,4,,,407-1,166.4,1483.8,20.1,179.4,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CFX-2,4,,,407-1*,135.1,1204.7,17.3,154.4,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,1,,,112-1,165.7,1477.6,49.6,442.7,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,1,,,112-2,130.7,1165.5,35.5,316.8,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,2,,,204-1,110.6,986.2,27.8,248.1,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,2,,,204-2,144.6,1289.4,31.3,279.4,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,3,,,316-1,212.2,1892.2,58.34,520.7,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,3,,,316-2,169.3,1509.7,41.66,371.8,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,4,,,418-1,110.1,981.8,21.8,194.6,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CRS-1,4,,,418-2,129.3,1153,34.1,304.3,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,1,,,118-1,106.5,949.7,33.65,300.3,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,1,,,118-2,62.5,557.3,20,178.5,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,2,,,203-1,57.8,515.4,22.3,199.0,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,2,,,203-2,93.4,832.8,35.1,313.3,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,3,,,317-1,66.4,592.1,16.8,149.9,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,3,,,317-2,95.8,854.3,26.1,232.9,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Lexington,CS Seme,4,,,417-1,73.28,653.4,23.88,213.1,,,,,,,,,,,,,,,,,,,,,,,,
