site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
<<<<<<< HEAD
New York,Altair,,,,,89,794.1,370.9,3309.2,61.59604911,249270.5873,52,210436.7,107.8,11,7.18,1.220491704,,,,,,,15.635625,,,,,,,,,
New York,Altair,,,,,,,,,53.89654297,218111.7639,,,,,,,,,,,,,,,,,,,,,,
New York,Altair,,,,,43.5,388.1,656.6,5858.3,52.35664174,211879.9992,40.5,163897.8,174.6,21.7,8.233333333,2.714569743,,,,,,,14.701875,,,,,,,,,
New York,Altair,,,,,77,687,720.4,6427.5,38.49753069,155794.1171,46.5,188179,161.9,14.1,8.509090909,2.210082082,,,,,,,15.614375,,,,,,,,,
New York,Anka,,,,,119.5,1066.2,1034.6,9230.7,75.45516016,305356.4694,62,250905.3,196.2,28,9.81,2.474853531,,,,,,,14.42625,,,,,,,,,
New York,Anka,,,,,,,,,50.81674051,205648.2345,,,,,,,,,,,,,,,,,,,,,,
New York,Anka,,,,,85.5,762.8,1326.2,11832.5,67.75565402,274197.646,78.5,317678.5,210.4,28,9.275,3.287888127,,,,,,,14.60125,,,,,,,,,
New York,Anka,,,,,67.5,602.2,1076.6,9605.3,46.19703683,186952.9405,49,198296.1,211.7,20.2,9.290909091,3.854738417,,,,,,,15.13722222,,,,,,,,,
New York,Bialobrzeskie,,,,,132,1177.7,930.5,8301.5,97.01377734,392601.175,68,275186.5,181.8,27.7,8.13,1.959106939,,,,,,,13.185625,,,,,,,,,
New York,Bialobrzeskie,,,,,,,,,46.19703683,186952.9405,,,,,,,,,,,,,,,,,,,,,,
New York,Bialobrzeskie,,,,,101.5,905.6,1115.8,9954.9,55.4364442,224343.5286,59,238764.7,180,23.7,9.083333333,3.008275623,,,,,,,13.623,,,,,,,,,
New York,Bialobrzeskie,,,,,123.5,1101.9,1188.7,10605.6,44.6571356,180721.1758,41.5,167944.7,206.8,24.9,9.516666667,2.884681766,,,,,,,12.925,,,,,,,,,
New York,CFX-1,,,,,116,1035,333.9,2979.2,60.05614788,243038.8226,51.5,208413.3,112.9,20.2,5.397,1.612185163,,,,,,,16.29875,,,,,,,,,
New York,CFX-1,,,,,174.5,1556.9,405.4,3616.9,50.81674051,205648.2345,53.5,216507,109.7,19.5,6.041,2.380516541,,,,,,,14.743125,,,,,,,,,
New York,CFX-1,,,,,222,1980.7,677.8,6047.5,63.13595033,255502.352,63.5,256975.6,144,12.5,6.441,2.342871956,,,,,,,14.870625,,,,,,,,,
New York,CFX-1,,,,,239,2132.4,630.8,5628.3,72.3753577,292892.9401,60,242811.6,123.4,21.4,6.8105,2.321698678,,,,,,,15.421875,,,,,,,,,
New York,CFX-2,,,,,244,2177,1020.5,9104.6,64.67585156,261734.1167,56.5,228647.6,118.4,11.5,5.823333333,2.220693442,,,,,,,15.529375,,,,,,,,,
New York,CFX-2,,,,,170,1516.7,569.8,5084.2,64.67585156,261734.1167,49.5,200319.6,131.3,18.6,6.925,2.81777838,,,,,,,15.629375,,,,,,,,,
New York,CFX-2,,,,,193,1721.9,609.7,5439.5,55.4364442,224343.5286,58.5,236741.3,138.3,16,7.115,2.746684365,,,,,,,14.426875,,,,,,,,,
New York,CFX-2,,,,,186,1659.5,595.3,5311.5,49.27683928,199416.4698,46,186155.6,124.5,14.5,6.835,2.223122804,,,,,,,15.067625,,,,,,,,,
New York,Grandi,,,,,139,1240.2,556,4960.2,60.05614788,243038.8226,60,242811.6,93.3,10.8,4.3475,1.784196948,,,,,,,14.771875,,,,,,,,,
New York,Grandi,,,,,,,,,44.6571356,180721.1758,,,,,,,,,,,,,,,,,,,,,,
