site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Kansas Manhattan,Altair,1,,,,,1645,,4064,,246259,,271112,165,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1629,,3679,,213734,,368227,152,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,1367,,3183,,367066,,299437,155,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1663,,4537,,278784,,265042,177,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1098,,2827,,106867,,135556,155,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1129,,3376,,167270,,208392,180,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,990,,3225,,167270,,169951,192,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1123,,3650,,144038,,194229,189,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1295,,4058,,51110,,62720,183,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,815,,3958,,65050,,68790,210,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,624,,3613,,46464,,48557,204,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1348,,4094,,195149,,248856,158,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1235,,2333,,139392,,143649,137,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1165,,2180,,144038,,74859,125,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,388,,1039,,32525,,26302,152,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1243,,1745,,78989,,32372,146,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1519,,1916,,171917,,184113,91,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1306,,1459,,190502,,101161,94,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,1364,,1624,,190502,,93068,98,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1385,,1693,,227674,,139602,91,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1434,,1778,,246259,,208392,104,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1465,,2193,,181210,,143649,113,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,1267,,1855,,157978,,236717,104,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1982,,2791,,223027,,339902,116,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1615,,3158,,181210,,184113,128,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,1260,,2754,,218381,,232671,134,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,1836,,4409,,227674,,269089,143,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,4,,,,,1843,,3465,,218381,,234694,152,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,1,,,,,1100,,3360,,120806,,198276,152,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,2,,,,,2036,,5859,,51110,,105208,177,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Altair,3,,,,,1182,,3635,,367066,,331809,143,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Hlesia,4,,,,,1100,,3316,,260198,,204346,137,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Hliana,1,,,,,1032,,3384,,148685,,135556,146,,,,,,,,,,,,,,,,,,,
Kansas Manhattan,Hliana,2,,,,,1038,,3199,,116160,,123417,140,,,,,,,,,,,,,,,,,,,
