site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Michigan,Altair,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,1,2,,,191.0761,1700.5774,241.9948,2153.7533,39.37,159393.03,,,145.29,16.6,6.89,0.6238,44-51,,,,,,,,,,,,,,,
Michigan,Anka,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,3,2,,,154.5057,1375.1006,172.7034,1537.0604,45.93,185958.54,,,129.54,9.84,8.48,1.8532,44-51,,,,,,,,,,,,,,,
Michigan,Anka,4,2,,,166.7542,1484.112,462.2922,4114.4007,66.93,270968.15,,,183.9,15.92,9.99,2.6247,44-51,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie ,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie ,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie ,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie ,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,1,4,,,104.287,928.154,89.5888,797.3403,61.68,249715.75,,,82.8,9.26,5.6,0.9395,<44,,,,,,,,,,,,,,,
Michigan,CFX-1,2,4,,,160.8049,1431.1636,66.6667,593.3333,49.87,201897.84,,,80.26,7.53,6.61,0.8972,<44,,,,,,,,,,,,,,,
Michigan,CFX-1,3,4,,,57.2178,509.2388,46.5442,414.2432,64.3,260341.95,,,75.18,20.05,5.02,0.6337,<44,,,,,,,,,,,,,,,
Michigan,CFX-1,4,4,,,191.4261,1703.692,97.9878,872.091,47.24,191271.64,,,121.92,7.83,7.02,1.5562,<44,,,,,,,,,,,,,,,
Michigan,CFX-2,1,5,,,116.3605,1035.608,80.315,714.8031,61.68,249715.75,,,91.44,12.44,6.11,0.7407,<44,,,,,,,,,,,,,,,
Michigan,CFX-2,2,5,,,142.4322,1267.6465,74.0157,658.7402,38.06,154079.93,,,92.96,18.28,7.39,1.3042,<44,,,,,,,,,,,,,,,
Michigan,CFX-2,3,5,,,115.1356,1024.7069,100.0875,890.7787,52.49,212524.04,,,109.73,23.65,8.05,1.374,<44,,,,,,,,,,,,,,,
Michigan,CFX-2,4,5,,,187.7515,1670.9886,44.6194,397.1129,36.75,148766.83,,,76.2,10.92,7.79,1.3937,<44,,,,,,,,,,,,,,,
Michigan,Grandi,1,6,,,75.7655,674.3132,42.5197,378.4252,40.68,164706.13,,,69.6,6.62,6.14,0.905,<44,,,,,,,,,,,,,,,
Michigan,Grandi,2,6,,,100.4374,893.8933,40.9449,364.4094,34.12,138140.63,,,75.18,13.75,6.85,1.9673,<44,,,,,,,,,,,,,,,
Michigan,Grandi,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,4,6,,,78.7402,700.7874,31.671,281.8723,38.06,154079.93,,,73.66,7.18,5.66,0.652,<44,,,,,,,,,,,,,,,
Michigan,H-51 ,1,7,,,83.8145,745.9493,230.2712,2049.4138,35.43,143453.73,,,136.14,15.92,7.32,1.1143,44-51,,,,,,,,,,,,,,,
Michigan,H-51 ,2,7,,,68.2415,607.3491,253.1934,2253.4208,36.75,148766.83,,,157.99,20.03,9.37,0.4054,44-51,,,,,,,,,,,,,,,
Michigan,H-51 ,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,H-51 ,4,7,,,110.9361,987.3316,179.3526,1596.238,28.87,116888.22,,,130.56,6.12,10.63,1.6847,51-58,,,,,,,,,,,,,,,
Michigan,Henola ,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Henola ,2,8,,,183.727,1635.1706,148.9064,1325.2668,36.75,148766.83,,,137.16,19.01,6.99,0.6389,44-51,,,,,,,,,,,,,,,
Michigan,Henola ,3,8,,,252.8434,2250.3062,193.3508,1720.8224,41.99,170019.23,,,128.52,12.78,7.44,1.6512,44-51,,,,,,,,,,,,,,,
Michigan,Henola ,4,8,,,206.2992,1836.063,310.4112,2762.6597,30.18,122201.32,,,155.96,12.39,9.93,2.5149,44-51,,,,,,,,,,,,,,,
Michigan,Hlesia ,1,9,,,111.1111,988.8889,152.7559,1359.5276,31.5,127514.43,,,120.4,15.62,6.56,1.1347,44-51,,,,,,,,,,,,,,,
Michigan,Hlesia ,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Hlesia ,3,9,,,80.8399,719.4751,262.2922,2334.4007,35.43,143453.73,,,141.73,17.91,7.61,0.8621,44-51,,,,,,,,,,,,,,,
