site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Cornell,CFX-1,,,,,230,2052.8,227,2026.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,182,1624.4,227,2026.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,82,731.9,91,810.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,146,1303.1,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,197,1758.2,159,1418.2,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,169,1508.3,136,1215.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,135,1204.9,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,,,,,101,901.4,114,1013.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,185,1651.1,272,2431.2,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,55,490.9,45,405.2,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,163,1454.8,250,2228.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,106,946.1,182,1620.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,215,1918.9,295,2633.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,68,606.9,91,810.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,203,1811.8,318,2836.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,,,,,100,892.5,182,1620.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,132,1178.1,658,5875.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,176,1570.8,477,4254.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,167,1490.5,636,5672.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,178,1588.7,431,3849.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,105,937.1,568,5065.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,126,1124.6,658,5875.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,129,1151.3,227,2026.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,,,,,181,1615.4,454,4052.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,152,1356.6,477,4254.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,169,1508.3,726,6483.1,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,169,1508.3,817,7293.5,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,101,901.4,477,4254.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,118,1053.2,318,2836.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,168,1499.4,454,4052.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,140,1249.5,522,4659.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,,,,,164,1463.7,499,4457.2,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,302,2695.4,545,4862.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,65,580.1,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,82,731.9,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,156,1392.3,409,3646.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,210,1874.3,658,5875.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,70,624.8,227,2026.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,89,794.3,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,,,,,130,1160.3,318,2836.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,53,473.0,295,2633.8,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,13,116.0,114,1013.0,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,12,107.1,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,77,687.2,431,3849.4,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,38,339.2,250,2228.6,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,23,205.3,159,1418.2,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,H-51,,,,,27,241.0,204,1823.4,,,,,,,,,,,,,,,,,,,,,,,,
