site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore,
Tennessee,Hliana,3,10,,,17.6,156.9,25.0,222.8,28,112011,26,105219,84.8,8.9,3.4,0.1,36,36,,,,,,0,,,,,,,,,
Tennessee,Henola,4,8,,,17.6,156.9,16.8,149.8,186,752966,40,161875,47.9,5.4,1.9,0.5,34,34,,,,,,0,,,,,,,,,
Tennessee,Altair,4,1,,,14.4,128.4,19.0,169.4,125,504051,38,153781,69.9,6.4,2.9,0.5,34,34,,,,,,0,,,,,,,,,
Tennessee,Hlesia,4,9,,,11.8,105.2,18.6,165.8,98,398263,26,105219,64.4,3.8,2.6,0.2,36,36,,,,,,0,,,,,,,,,
Tennessee,X-59,4,13,,,21.6,192.5,14.4,128.4,141,572503,26,105219,34.2,4.0,2.4,0.4,32,32,,,,,,0,,,,,,,,,
Tennessee,Vega,4,12,,,15.6,139.1,19.6,174.7,151,609840,38,153781,61.6,9.7,2.2,0.2,36,36,,,,,,0,,,,,,,,,
Tennessee,CFX-2,4,5,,,16.6,148.0,12.2,108.7,105,423154,28,113312,46.0,8.4,2.2,0.3,32,32,,,,,,0,,,,,,,,,
Tennessee,H-51,4,7,,,13.6,121.2,26.0,231.8,94,379594,46,186156,67.2,7.3,2.3,0.3,34,34,,,,,,0,,,,,,,,,
Tennessee,CFX-1,4,4,,,14.6,130.1,10.4,92.7,211,852531,24,97125,38.0,8.5,1.7,0.3,32,32,,,,,,0,,,,,,,,,
Tennessee,Hliana,4,10,,,14.0,124.8,18.0,160.4,26,105789,12,48563,74.9,3.4,4.2,0.2,36,36,,,,,,0,,,,,,,,,
Tennessee,Anka,4,2,,,25.2,224.6,26.4,235.3,115,466714,40,161875,77.1,9.5,2.8,0.4,34,34,,,,,,0,,,,,,,,,
Tennessee,Grandi,4,6,,,17.4,155.1,16.8,149.8,154,622286,16,64750,38.1,7.0,2.0,0.1,32,32,,,,,,0,,,,,,,,,
Tennessee,Lara,4,11,,,16.8,149.8,22.6,201.5,180,728074,42,169968,70.7,6.8,2.0,0.2,34,34,,,,,,0,,,,,,,,,
Tennessee,Bialobrzeskie,4,3,,,28.4,253.2,24.2,215.7,221,896091,46,186156,70.9,8.0,2.6,0.3,36,36,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
