,2021 - Multi-state Hemp Dual Purpose Trial (MHDPT) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Record Disease  and Insect Information if Present,,,,,,,,Notes: 
,,,,,,Grain Yield,Grain Yield,Dry Straw Yield,Dry Straw Yield,Plant Population at Establishment,Plant Population at Establishment,Plant Population at Harvest,Plant Population at Harvest,Total Plant Height at Harvest ,Total Plant Height at Harvest ,Stem Diameter at Harvest ,Stem Diameter at Harvest ,Time to 50%  flower (Male),Time to 50%  flower (Female Monoeciuos)  ,Male:Female,Harvest Moisture ,Protein Content ,Oil Content ,1000 Kernal Weight,Lodging,Hemp Leaf Spot ,Powdery Mildew ,Cercospora Leaf Spot ,Southern Blight,Fusarium Head Blight ,Russet Mites ,Corn Ear Worm,Hemp Borer ,
Site,Variety / Line,Rep,Entry,Plot #,,grams/m2,lbs./A,grams/m2,lbs./A,# plants/m2 ,plants/A,# plantsm2 ,plants/A,Mean (cm),SD (cm),Mean (mm),SD (mm),Days,Days ,,%,,,grams,(0-9),,,,,,,,,
Cornell,USO 31,3,,,,78,696.1531877,772,6888.346542,,,,,157,,,,,,,,,,,,,,,,,,,,
Cornell,USO 31,4,,,,126,1124.555149,454,4051.968554,,,,,138,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,1,,,,197,1758.233051,159,1418.188994,,,,,135,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,2,,,,169,1508.331907,136,1215.590566,,,,,129,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,3,,,,135,1204.880517,204,1823.385849,,,,,149,,,,,,,,,,,,,,,,,,,,
Cornell,CFX-1,4,,,,101,901.4291277,114,1012.992139,,,,,131,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,1,,,,215,1918.883787,295,2633.77956,,,,,146,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,2,,,,68,606.902779,91,810.3937108,,,,,135,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,3,,,,203,1811.783296,318,2836.377988,,,,,154,,,,,,,,,,,,,,,,,,,,
Cornell,CRS-1,4,,,,100,892.5040868,182,1620.787422,,,,,153,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,1,,,,105,937.1292912,568,5064.960693,,,,,149,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,2,,,,126,1124.555149,658,5875.354404,,,,,158,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,3,,,,129,1151.330272,227,2025.984277,,,,,106,,,,,,,,,,,,,,,,,,,,
Cornell,Fedora 17,4,,,,181,1615.432397,454,4051.968554,,,,,131,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,1,,,,118,1053.154822,318,2836.377988,,,,,123,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,2,,,,168,1499.406866,454,4051.968554,,,,,133,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,3,,,,140,1249.505722,522,4659.763837,,,,,148,,,,,,,,,,,,,,,,,,,,
Cornell,Felina 32,4,,,,164,1463.706702,499,4457.16541,,,,,175,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,1,,,,210,1874.258582,658,5875.354404,,,,,198,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,2,,,,70,624.7528608,227,2025.984277,,,,,129,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,3,,,,89,794.3286373,204,1823.385849,,,,,130,,,,,,,,,,,,,,,,,,,,
Cornell,Futura 75,4,,,,130,1160.255313,318,2836.377988,,,,,144,,,,,,,,,,,,,,,,,,,,
Cornell,Hlukhovskii 51,1,,,,38,339.151553,250,2228.582705,,,,,119,,,,,,,,,,,,,,,,,,,,
