site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Kansas Wichita,Altair,1,,,,193.97,1731,277,2472,,,69,279335,96,,0.79,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,1,,,,268.68,2398,400,3570,,,77,311721,97,,0.63,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,2,,,,165.51,1477,265,2365,,,40,161933,97,,0.7,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,2,,,,179.22,1600,361,3222,,,53,214561,110,,0.77,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,3,,,,223.61,1996,378,3374,,,61,246948,104,,0.65,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,3,,,,240.54,2147,526,4695,,,57,230755,115,,0.93,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,4,,,,183.3,1636,284,2535,,,56,226706,89,,0.68,,,,,,,,,,,,,,,,,
Kansas Wichita,Altair,4,,,,137.62,1228,302,2695,,,70,283383,93,,0.77,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,1,,,,189.23,1689,400,3570,,,88,356253,120,,0.75,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,1,,,,116.43,1039,281,2508,,,48,194320,121,,0.65,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,2,,,,251.53,2245,522,4659,,,59,238851,124,,0.86,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,2,,,,132.07,1179,442,3945,,,44,178126,148,,0.98,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,3,,,,111.34,994,419,3740,,,93,376494,120,,0.68,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,3,,,,121.58,1085,425,3793,,,80,323866,123,,0.75,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,4,,,,152.76,1363,355,3168,,,58,234803,116,,0.95,,,,,,,,,,,,,,,,,
Kansas Wichita,Anka,4,,,,137.05,1223,350,3124,,,50,202416,109,,0.67,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,1,,,,174.2,1555,177,1580,,,16,64773,80,,0.83,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,1,,,,97.36,869,149,1330,,,6,24290,115,,1.25,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,3,,,,143.89,1284,287,2561,,,19,76918,100,,1.08,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,3,,,,142.61,1273,379,3383,,,19,76918,128,,1.07,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,4,,,,102.05,911,212,1892,,,10,40483,105,,0.89,,,,,,,,,,,,,,,,,
Kansas Wichita,Bialobrzeskie,4,,,,224.85,2007,455,4061,,,21,85015,101,,1.13,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,2,,,,313.47,2798,140,1250,,,21,85015,58,,0.83,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,2,,,,243.23,2171,204,1821,,,19,76918,67,,0.83,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas Wichita,Canda,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
