site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Wisconsin ChippewaFalls,Anka,1,1,,,35.53,317.1067021,218.7,1951.906438,,,6.666666667,,132.6666667,,7.13375,,,,0.428571429,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,2,1,,,44.74,399.3063284,183.7,1639.530008,,,10.33333333,,125.6666667,,5.62875,,,,0.722222222,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,3,1,,,45.68,407.6958669,35.7,318.623959,,,11.33333333,,74.33333333,,2.915,,,,0.47826087,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Anka,4,1,,,39.85,355.6628786,170.7,1523.504476,,,11.66666667,,139.6666667,,5.15,,,,0.842105263,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-1,1,2,,,31.22,278.6397759,30.7,273.9987547,,,8.333333333,,93,,5.52125,,,,0.666666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-1,2,2,,,38.97,347.8088426,65.7,586.375185,,,8.333333333,,112.3333333,,4.11125,,,,0.666666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-1,3,2,,,52.96,472.6701644,71.7,639.9254303,,,8.666666667,,94.66666667,,4.96375,,,,0.529411765,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-1,4,2,,,51.57,460.2643576,76.7,684.5506346,,,10,,107,,5.2975,,,,0.666666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-2,1,3,,,16.9,150.8331907,53.7,479.2746946,,,4.666666667,,113,,4.675,,,,1.8,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-2,2,3,,,39.9,356.1091306,83.7,747.0259207,,,11,,98.66666667,,4.52125,,,,0.941176471,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-2,3,3,,,34.22,305.4148985,55.7,497.1247764,,,12.33333333,,99.33333333,,3.355,,,,0.541666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CFX-2,4,3,,,48.49,432.7752317,71.7,639.9254303,,,6.666666667,,118.3333333,,5.13875,,,,0.818181818,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CRS-1,1,4,,,38.04,339.5085546,99.7,889.8265746,,,10,,114.6666667,,5.1875,,,,1.142857143,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CRS-1,2,4,,,65.51,584.6794273,151.7,1353.9287,,,7.666666667,,115.6666667,,5.0175,,,,0.352941176,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CRS-1,3,4,,,77.4,690.7981632,119.7,1068.327392,,,11.66666667,,112,,5.685,,,,1.058823529,,,,,,,,,,,,,
Wisconsin ChippewaFalls,CRS-1,4,4,,,84.41,753.3626997,182.7,1630.604967,,,12,,114.6666667,,5.8275,,,,0.384615385,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Fedora 17,1,5,,,2.8,24.99011443,12.7,113.348019,,,10.66666667,,142.3333333,,3.68375,,,,0.333333333,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Fedora 17,2,5,,,66.17,590.5699543,347.7,3103.23671,,,12.66666667,,131,,5.02125,,,,0.117647059,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Fedora 17,3,5,,,71.8,640.8179343,417.7,3727.989571,,,10.66666667,,137.3333333,,4.1025,,,,0.777777778,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Fedora 17,4,5,,,40.69,363.1599129,291.7,2603.434421,,,13.33333333,,121.6666667,,6.2225,,,,0.818181818,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Felina 32,1,6,,,24.21,216.0752394,269.7,2407.083522,,,10,,158.6666667,,5.35375,,,,0.875,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Felina 32,2,6,,,72.86,650.2784777,430.7,3844.015102,,,14.33333333,,136.3333333,,5.5525,,,,0.592592593,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Felina 32,3,6,,,79.77,711.9505101,451.7,4031.44096,,,13.66666667,,124.3333333,,4.81125,,,,0.171428571,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Felina 32,4,6,,,81.08,723.6423136,403.7,3603.038999,,,23.33333333,,130,,5.93875,,,,0.458333333,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Futura 75,1,7,,,51.56,460.1751072,204.7,1826.955866,,,4.333333333,,156.3333333,,5.82625,,,,0,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Futura 75,2,7,,,65.93,588.4279444,349.7,3121.086792,,,9.333333333,,160.6666667,,7.355,,,,0.75,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Futura 75,3,7,,,90.86,810.9292133,376.7,3362.062895,,,8.333333333,,161.6666667,,6.2625,,,,1.5,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Futura 75,4,7,,,84.44,753.6304509,344.7,3076.461587,,,9.333333333,,150,,6.8175,,,,0.12,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Grandi,1,8,,,2.35,20.97384604,5.7,50.87273295,,,7.333333333,,95.66666667,,3.87125,,,,0.466666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Grandi,2,8,,,40.91,365.1234219,77.7,693.4756755,,,7,,91.33333333,,3.745,,,,0.4,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Grandi,3,8,,,56.16,501.2302952,52.7,470.3496538,,,9,,94.66666667,,4.2375,,,,0.421052632,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Grandi,4,8,,,59.03,526.8451625,290.7,2594.50938,,,13.66666667,,120.6666667,,5.93125,,,,1.157894737,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlesia,1,9,,,21.88,195.2798942,138.7,1237.903168,,,4.333333333,,135,,7.0175,,,,1.166666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlesia,2,9,,,49.5,441.789523,233.7,2085.782051,,,8.333333333,,112.3333333,,5.43125,,,,0.5625,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlesia,3,9,,,64.45,575.218884,330.7,2951.511015,,,11,,110,,5.72125,,,,1.2,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlesia,4,9,,,47.36,422.6899355,258.7,2308.908073,,,5.333333333,,160,,7.37,,,,1,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hliana,1,10,,,6.3,56.22775747,105.7,943.3768198,,,7.666666667,,120,,5.86,,,,0.642857143,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hliana,2,10,,,42.6,380.206741,241.7,2157.182378,,,9.666666667,,116.3333333,,5.24,,,,0.526315789,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hliana,3,10,,,35.13,313.5366857,301.7,2692.68483,,,11,,132,,4.66375,,,,1.0625,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hliana,4,10,,,26.94,240.440601,229.7,2050.081887,,,12.33333333,,124.3333333,,5.46,,,,0.681818182,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlukauskii51,1,11,,,12.64,112.8125166,190.7,1702.005294,,,6.333333333,,72.33333333,,6.2275,,,,0.727272727,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlukauskii51,2,11,,,23.78,212.2374718,281.7,2514.184013,,,8.666666667,,128.3333333,,6.39625,,,,0.444444444,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlukauskii51,3,11,,,30.35,270.8749904,253.7,2264.282868,,,10.66666667,,88,,6.02625,,,,1.285714286,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Hlukauskii51,4,11,,,44.4,396.2718146,300.7,2683.759789,,,5.333333333,,142.6666667,,6.5975,,,,0.777777778,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Katani,1,12,,,12.67,113.0802678,22.7,202.5984277,,,7.666666667,,91.66666667,,4.1025,,,,2.285714286,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Katani,2,12,,,43.83,391.1845413,272.7,2433.858645,,,12.66666667,,142.3333333,,6.0775,,,,1.235294118,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Katani,3,12,,,66.78,596.0142292,58.7,523.899899,,,7.333333333,,82.66666667,,3.77375,,,,0.466666667,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Katani,4,12,,,49.11,438.308757,90.7,809.5012068,,,6.666666667,,78.33333333,,3.9775,,,,0.176470588,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Picolo,1,13,,,4.5,40.16268391,8.7,77.64785555,,,6.333333333,,83,,4.20625,,,,0.461538462,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Picolo,2,13,,,36.68,327.3704991,57.7,514.9748581,,,10.66666667,,80.33333333,,5.02875,,,,0.777777778,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Picolo,3,13,,,40.84,364.4986691,52.7,470.3496538,,,11.66666667,,90,,3.7525,,,,0.590909091,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Picolo,4,13,,,52.14,465.3516309,39.7,354.3241225,,,6.333333333,,85.66666667,,5.48,,,,0.357142857,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Uso-31,1,14,,,22.96,204.9189383,207.7,1853.730988,,,4.666666667,,118.3333333,,6.15375,,,,0.4,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Uso-31,2,14,,,30,267.751226,242.7,2166.107419,,,8.333333333,,137,,6.075,,,,0.785714286,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Uso-31,3,14,,,72.15,643.9416986,306.7,2737.310034,,,9.666666667,,145.3333333,,7.15875,,,,0.933333333,,,,,,,,,,,,,
Wisconsin ChippewaFalls,Uso-31,4,14,,,43.81,391.0060404,354.7,3165.711996,,,13.33333333,,144.6666667,,6.645,,,,0.379310345,,,,,,,,,,,,,
Wisconsin ChippewaFalls,X-59,1,15,,,13.73,122.5408111,17.7,157.9732234,,,3,,96,,3.6325,,,,0.285714286,,,,,,,,,,,,,
Wisconsin ChippewaFalls,X-59,2,15,,,162.76,1452.639652,138.7,1237.903168,,,10.33333333,,97.66666667,,4.95,,,,0.55,,,,,,,,,,,,,
Wisconsin ChippewaFalls,X-59,3,15,,,92.14,822.3532656,90.7,809.5012068,,,9.333333333,,98,,3.82875,,,,0.647058824,,,,,,,,,,,,,
Wisconsin ChippewaFalls,X-59,4,15,,,96.59,862.0696975,69.7,622.0753485,,,8.333333333,,106.3333333,,4.97,,,,0.5625,,,,,,,,,,,,,
