site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Michigan,Altair,1,,,,157.33,1404,114.28,1019.95367,,,129,522234,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,2,,,,110.465,986,132.775,1185.022301,,,113,457461,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,3,,,,169.205,1510,163.985,1463.572827,,,129,522234,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,4,,,,70.655,631,172.42,1538.855547,,,95,384591,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,5,,,,85.74,765,191.93,1712.983094,,,102,412929,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,6,,,,125.93,1124,144.14,1286.455391,,,113,457461,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,7,,,,140.685,1256,164.765,1470.534359,,,104,421026,,,,,,,,,,,,,,,,,,,,
Michigan,Altair,8,,,,103.15,921,242.985,2168.651055,,,140,566766,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,1,,,,104.31,931,128.535,1147.180128,,,144,582959,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,2,,,,103.67,925,180.665,1612.442508,,,147,595104,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,3,,,,126.995,1133,197.83,1765.640835,,,179,724651,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,4,,,,139.795,1248,271.385,2422.122216,,,144,582959,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,5,,,,96.7,863,214.55,1914.867518,,,115,465558,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,6,,,,102.585,916,343.24,3063.431028,,,149,603201,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,7,,,,123.96,1106,174.525,1557.642758,,,81,327914,,,,,,,,,,,,,,,,,,,,
Michigan,Anka,8,,,,84.685,756,271.845,2426.227735,,,108,437219,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,1,,,,66.125,590,99.465,887.72919,,,48,194320,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,2,,,,192.755,1720,179.635,1603.249716,,,66,267190,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,3,,,,98.175,876,188.395,1681.433074,,,47,190271,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,4,,,,92.66,827,209.655,1871.179443,,,68,275286,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,5,,,,124.575,1112,151.655,1353.527073,,,68,275286,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,6,,,,71.345,637,278.81,2488.390644,,,59,238851,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,7,,,,124.98,1115,140.415,1253.209614,,,54,218610,,,,,,,,,,,,,,,,,,,,
Michigan,Bialobrzeskie,8,,,,113.425,1012,251.79,2247.23604,,,34,137643,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,1,,,,197.37,1762,36.96,329.8695105,,,100,404833,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,2,,,,196.18,1751,44.115,393.7281779,,,115,465558,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,3,,,,205.21,1832,34.73,309.9666694,,,106,429123,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,4,,,,271.255,2421,57.345,511.8064686,,,81,327914,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,5,,,,185.11,1652,57.63,514.3501052,,,115,465558,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,6,,,,203.505,1816,62.18,554.9590412,,,135,546524,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,7,,,,194.235,1734,68.69,613.0610572,,,83,336011,,,,,,,,,,,,,,,,,,,,
Michigan,CFX-1,8,,,,231.66,2068,77.295,689.8610339,,,102,412929,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,1,,,,228.71,2041,64.865,578.9227759,,,79,319818,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,2,,,,201.045,1794,57.415,512.4312215,,,104,421026,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,3,,,,210.94,1883,67.91,606.0995254,,,126,510089,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,4,,,,219.725,1961,132.765,1184.933051,,,86,348156,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,5,,,,166.81,1489,98.435,878.5363979,,,120,485799,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,6,,,,197.365,1761,171.15,1527.520745,,,90,364349,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,7,,,,215.78,1926,132.935,1186.450308,,,83,336011,,,,,,,,,,,,,,,,,,,,
Michigan,CRS-1,8,,,,159.705,1425,163.955,1463.305076,,,115,465558,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,1,,,,166.22,1484,13.92,124.2365689,,,100,404833,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,2,,,,173.745,1551,29.12,259.8971901,,,129,522234,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,3,,,,176.865,1579,25.29,225.7142836,,,147,595104,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,4,,,,156.555,1397,25.85,230.7123064,,,156,631539,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,5,,,,154.745,1381,20.54,183.3203394,,,190,769182,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,6,,,,139.02,1241,54.975,490.6541217,,,135,546524,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,7,,,,139.31,1243,34.275,305.9057758,,,93,376494,,,,,,,,,,,,,,,,,,,,
Michigan,Grandi,8,,,,184.615,1648,59.125,527.6930413,,,142,574862,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,1,,,,,0,,0,,,117,473654,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,2,,,,179.04,1598,91.38,815.5702345,,,129,522234,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,3,,,,199.02,1776,81.445,726.8999535,,,95,384591,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,4,,,,198.095,1768,120.42,1074.753421,,,145,587007,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,5,,,,230.31,2056,117.785,1051.235939,,,106,429123,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,6,,,,150.9,1347,107.43,958.8171405,,,151,611297,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,7,,,,207.235,1850,154.92,1382.667331,,,99,400784,,,,,,,,,,,,,,,,,,,,
Michigan,Henola,8,,,,133.885,1195,126.23,1126.607909,,,113,457461,,,,,,,,,,,,,,,,,,,,
