site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
<<<<<<< HEAD
Montana,Altair,1,,,,272.5,2426.678074,863.4,7689.166226,38.2,,,154570.8076,179.3,,13,,,,,,,,,,,,,,,,,
Montana,Altair,2,,,,360.6,3210.909402,985.1,8773.033109,24.3,,,98566.89183,195.7,,10,,,,,,,,,,,,,,,,,
Montana,Altair,3,,,,90.2,803.4671915,849.9,7568.572163,17.7,,,71685.01224,189,,10,,,,,,,,,,,,,,,,,
Montana,Altair,4,,,,135.8,1209.639832, ,,17.2,,,69444.85561,187.3,,14,,,,,,,,,,,,,,,,,
Montana,Anka,1,,,,170.6,1519.63316,753.3,6708.877065,26.6,,,107527.5184,207,,12,,,,,,,,,,,,,,,,,
Montana,Anka,2,,,,162,1442.689708,1150.2,10243.09693,35.4,,,143370.0245,235.7,,11,,,,,,,,,,,,,,,,,
Montana,Anka,3,,,,130.4,1161.550176,899.3,8008.777484,45.4,,,183692.8439,234.3,,12,,,,,,,,,,,,,,,,,
Montana,Anka,4,,,,66,588.1734965,507.2,4516.728549,26.6,,,107527.5184,176.7,,11,,,,,,,,,,,,,,,,,
Montana,Bialobrzeskie,1,,,,33.7,300.0054753,567.1,5050.523741,7.2,,,29122.03622,239.3,,11,,,,,,,,,,,,,,,,,
Montana,Bialobrzeskie,2,,,,28.7,255.9849431,825.4,7350.319104,13.8,,,56003.91581,248.3,,13,,,,,,,,,,,,,,,,,
Montana,Bialobrzeskie,3,,,,37.5,333.6682351,670.4,5970.51587,10.5,,,42562.97602,230,,13,,,,,,,,,,,,,,,,,
Montana,Bialobrzeskie,4,,,,25.8,229.720592,676.3,6022.304732,16,,,64964.54234,240.3,,13,,,,,,,,,,,,,,,,,
Montana,CFX-1,1,,,,136.5,1215.92848,432.7,3853.091283,24.3,,,98566.89183,111,,10,,,,,,,,,,,,,,,,,
Montana,CFX-1,2,,,,179.1,1595.096929,527.0,4692.810677,18.3,,,73925.16887,134,,11,,,,,,,,,,,,,,,,,
Montana,CFX-1,3,,,,403.2,3590.817692,1074.0,9564.662847,21.6,,,87366.10867,136,,10,,,,,,,,,,,,,,,,,
Montana,CFX-1,4,,,,318.3,2834.330396,984.7,8769.333905,23.8,,,96326.7352,153,,10,,,,,,,,,,,,,,,,,
Montana,Henola,1,,,,186.2,1657.983403,682.1,6074.093593,19.9,,,80645.63877,154.7,,11,,,,,,,,,,,,,,,,,
Montana,Henola,2,,,,205.2,1827.406964,859.0,7649.954659,28.2,,,114247.9883,183.3,,11,,,,,,,,,,,,,,,,,
Montana,Henola,3,,,,197.7,1760.821285,701.4,6246.476517,35.4,,,143370.0245,169,,9,,,,,,,,,,,,,,,,,
Montana,Henola,4,,,,129.2,1150.452562, ,,36.5,,,147850.3377,145.7,,9,,,,,,,,,,,,,,,,,
Montana,Hlesia,1,,,,48,427.6280264,648.0,5770.758834,38.2,,,154570.8076,178.3,,10,,,,,,,,,,,,,,,,,
