site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Kansas Lexington ,Altair,,,,,24.8,221.3,58,517.5,40.6,164321.6,50,202416.4,108.4,7.6,,,,,1.8:8.2,,,,,,,,,,,,,
Kansas Lexington ,Altair,,,,,8.7,77.6,33.8,301.1,45.5,184239.4,34.5,139667.3,105.4,6.5,,,,,0.8:9.2,,,,,,,,,,,,,
Kansas Lexington ,Altair,,,,,0.9,8.02944,20,89.216,39.36,159342.2,26.5,107280.7,68.8,12.96919427,,,,,0.4:9.6,,,,,,,,,,,,,
Kansas Lexington ,Altair,,,,,14.9,132.93184,51.5,459.4624,34.44,139424.4,26.5,107280.7,123.6,14.60479373,,,,,1.2:8.8,,,,,,,,,,,,,
Kansas Lexington ,Anka,,,,,24.4,217.7,74.5,664.2,46.7,189218.8,42,170029.7,115.2,7.1,,,,,3.2:6.8,,,,,,,,,,,,,
Kansas Lexington ,Anka,,,,,43.25,385.9,94.1,419.8,51.7,209136.6,34.5,139667.3,129.6,2.3,,,,,4.0:6.0,,,,,,,,,,,,,
Kansas Lexington ,Anka,,,,,1.2,,16.65,148.54464,49.2,199177.7,16.5,66797.4,79.8,9.679876032,,,,,2.8:7.2,,,,,,,,,,,,,
Kansas Lexington ,Anka,,,,,29.5,263.1872,78.15,697.22304,55.35,224074.9,51,206464.7,111.2,12.75539102,,,,,3.6:6.4,,,,,,,,,,,,,
Kansas Lexington ,Bialobrzeskie ,,,,,37.1,331,106.1,946.6,52.9,214116,54,218609.7,133,6,,,,,0.6:9.4,,,,,,,,,,,,,
Kansas Lexington ,Bialobrzeskie ,,,,,51.75,461.7,98.8,881.5,49.2,199177.7,43.5,176102.2,126.6,2.7,,,,,0.6:9.4,,,,,,,,,,,,,
Kansas Lexington ,Bialobrzeskie ,,,,,17.4,155.23584,53.5,477.3056,50.43,204157.1,50,202416.4,91.4,13.61249426,,,,,0.4:9.6,,,,,,,,,,,,,
Kansas Lexington ,Bialobrzeskie ,,,,,50.25,448.3104,96.35,859.59616,46.74,189218.8,46.5,188247.2,135.2,11.67047557,,,,,0.2:9.8,,,,,,,,,,,,,
Kansas Lexington ,CFX-1,,,,,2.7,24.1,10.3,91.9,54.1,219095.5,13,52628.3,73.6,6.6,,,,,4.8:5.2,,,,,,,,,,,,,
Kansas Lexington ,CFX-1,,,,,6.45,57.5,15.4,137.4,36.9,149383.3,19.5,78942.4,79.8,1.9,,,,,6.0:4.0,,,,,,,,,,,,,
Kansas Lexington ,CFX-1,,,,,1.95,17.39712,5.5,49.0688,73.8,298766.5,8.5,34410.8,59,2.915475947,,,,,4.8:5.2,,,,,,,,,,,,,
Kansas Lexington ,CFX-1,,,,,4.3,38.36288,8.5,75.8336,57.81,234033.8,16,64773.2,65.8,10.03493896,,,,,6.4:3.6,,,,,,,,,,,,,
Kansas Lexington ,CFX-2,,,,,2.6,23.2,1.6,13.8,55.4,224074.9,6.5,26314.1,65.6,23.8,,,,,4.2:5.8,,,,,,,,,,,,,
Kansas Lexington ,CFX-2,,,,,2.65,23.6,8.9,79,30.8,124486.1,9,36434.9,68,12.9,,,,,4.8:5.2,,,,,,,,,,,,,
Kansas Lexington ,CFX-2,,,,,4.7,41.93152,10.1,90.10816,38.13,154362.7,18.5,74894.1,70.4,6.503845017,,,,,4.4:5.6,,,,,,,,,,,,,
Kansas Lexington ,CFX-2,,,,,5.55,49.51488,5.55,49.51488,52.89,214116,20,80966.5,,,,,,,3.4:6.6,,,,,,,,,,,,,
