site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
Montana,Altair,1,1,,,17.1,136.7,749.7402,6005.1,61,,112,,61.1,,5.4,,,,,,,,8.85,,,,,,,,,
Montana,Altair,2,1,,,74.2,594.3,963.402,7716.5,120,,133,,70.8,,7.2,,,,,,,,13.1,,,,,,,,,
Montana,Altair,3,1,,,24.2,193.6,731.2272,5856.8,130,,77,,61.1,,6.6,,,,,,,,11.85,,,,,,,,,
Montana,Altair,4,1,,,29.2,233.8,438.4314,3511.7,67,,33,,79.2,,10.8,,,,,,,,11.1,,,,,,,,,
Montana,Anka,1,2,,,33.9,271.6,783.6444,6276.7,55,,50,,83.5,,10.6,,,,,,,,10.3,,,,,,,,,
Montana,Anka,2,2,,,71,568.7,1007.5428,8070,153,,92,,62.3,,8.8,,,,,,,,12.35,,,,,,,,,
Montana,Anka,3,2,,,63.2,505.9,712.8594,5709.7,60,,33,,72.8,,11,,,,,,,,,,,,,,,,,
Montana,Anka,4,2,,,68.3,547.2,1009.14,8082.8,76,,87,,79.9,,8.8,,,,,,,,11.3,,,,,,,,,
Montana,Bialobrzeskie ,1,3,,,19.4,155.3,720.2646,5769,113,,100,,67.4,,6.8,,,,,,,,6.55,,,,,,,,,
Montana,Bialobrzeskie ,2,3,,,68,544.9,1242.4038,9951.2,110,,83,,83.4,,9.4,,,,,,,,11.25,,,,,,,,,
Montana,Bialobrzeskie ,3,3,,,8,64,405.3258,3246.5,92,,39,,51.8,,7.4,,,,,,,,5.4,,,,,,,,,
Montana,Bialobrzeskie ,4,3,,,28.7,230.3,873.741,6998.3,117,,73,,86.4,,8.6,,,,,,,,10.2,,,,,,,,,
Montana,CFX-1,1,4,,,85,680.9,533.4648,4272.8,171,,111,,48.9,,6.8,,,,,,,,15.85,,,,,,,,,
Montana,CFX-1,2,4,,,95.8,767,520.2516,4167,213,,107,,54.2,,7.8,,,,,,,,16.35,,,,,,,,,
